Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specmcf2_0	1.142751	0.001970	0.000018	0.881828
specmcf2_1	1.112112	0.001246	0.000013	0.597267
specmcf2_2	1.140733	0.001970	0.000018	0.819520
specmcf2_3	1.114410	0.001246	0.000013	0.667934
specmcf2_5	1.124604	0.002312	0.000034	0.406700
specmcf2_6	1.117873	0.001246	0.000013	0.776415
specmcf2_10	1.112112	0.001246	0.000013	0.597267
specmcf2_11	1.111918	0.001246	0.000013	0.590910
specmcf2_16	1.111239	0.001120	0.000013	0.653408
